Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.23     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.23     0.00        8     0.00     0.00  std::__new_allocator<int>::max_size() const
  0.00      0.23     0.00        8     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.23     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.23     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.23     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.23     0.00        7     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.23     0.00        7     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      0.23     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.23     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.23     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.23     0.00        7     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.23     0.00        7     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.23     0.00        7     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.23     0.00        7     0.00     0.00  std::__new_allocator<double>::__new_allocator()
  0.00      0.23     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      0.23     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.23     0.00        7     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.23     0.00        7     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.23     0.00        7     0.00     0.00  void std::_Construct<double>(double*)
  0.00      0.23     0.00        7     0.00     0.00  double* std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&, std::random_access_iterator_tag)
  0.00      0.23     0.00        7     0.00     0.00  double* std::__addressof<double>(double&)
  0.00      0.23     0.00        7     0.00     0.00  std::iterator_traits<double*>::iterator_category std::__iterator_category<double*>(double* const&)
  0.00      0.23     0.00        7     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.23     0.00        7     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      0.23     0.00        7     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.23     0.00        7     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      0.23     0.00        7     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      0.23     0.00        7     0.00     0.00  void std::__fill_a<double*, double>(double*, double*, double const&)
  0.00      0.23     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.23     0.00        6     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.23     0.00        6     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.23     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      0.23     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
